name,address,city,website,phone,rating,reviews,category,description,activities
The Happy Rafter,"Lot 13320, Kampung Geruntum, Sungai Itik, 31600 Gopeng, Perak, Malaysia, 31600 Gopeng, Perak",Gopeng,https://www.instagram.com/rafting_thehappyrafter/,+60 11-2755 4627,5,8,Outdoor activity organiser,,
Water Rafting Kuala Kubu Bahru by PROJEK OUTDOOR,"PROJEK OUTDOOR-Starting Point Water Rafting KKB, Kampung Gerachi, 44000 Kuala Kubu Bahru, Selangor",Kuala Kubu Bahru,https://linktr.ee/projekoutdoor,+60 19-513 4193,5,724,attractions,,
ATV Ceruk Rimba,"Lot 10475, Jalan Felcra Semungkis, Batu 14, 43100 Hulu Langat, Selangor",Hulu Langat,https://cerukrimba.com/,+60 13-231 6486,5,14,Outdoor activity organiser,,
OTTERNEST CAMP,"TL JSG, Otternest Camp, Hutan Lipur Gunung Pulai 2, 81500 Pekan Nanas, Johor Darul Ta'zim",Pekan Nanas,https://beacons.ai/otternest,+60 14-338 2599,4.8,323,Training center,,
Universal Team Builders,"Savanna Lifestyle Retail, D-1, Jalan BBLS 1, Bandar Baru Lembah Selatan, 43800 Dengkil, Selangor",Dengkil,http://www.teambuilding.my/,+60 12-303 5990,5,42,Training center,,
PD Sanctuary Camp,"Pasir Panjang, Kg, Kampung Tanjung Agas, 71250 Port Dickson, Negeri Sembilan",Port Dickson,http://www.pdscamp.com/,+60 19-641 8074,4.3,275,attractions,,
Team Music Kuala Lumpur,"29-2 &, 3, Jalan PJU 5/20, Kota Damansara, 47810 Petaling Jaya, Selangor",Petaling Jaya,http://www.teammusic.com.my/,+65 9731 7467,5,9,Event planner,,
"Penang Team Building , Training & Event - Aster Team Solutions","No.308D, Jalan Dato Haji Ismail, 11900 Bayan Lepas, Penang",Bayan Lepas,https://www.asterteam.com.my/,+60 18-262 5515,4.9,203,Event planner,,
Daily Sparks,"66, Jln. SS 2/18, SS 2, 47300 Petaling Jaya, Selangor",Petaling Jaya,https://www.dailysparksevents.com/,+60 17-538 3329,5,65,Event planner,,
Riverbug Perak White Water Rafting (Main Ending Point),"19, Jln Kampung Rawa, Kampung Jahang, 31600 Gopeng, Perak",Gopeng,http://riverbug.my/,+60 12-313 1006,4.6,44,Outdoor activity organiser,,
JungleWalla -Natural History Tours,"No.163, Jalan Tanjung Rhu, Ayer Hangat, 07000 Langkawi, Kedah",Langkawi,https://junglewalla.com/,+60 19-225 2300,4.9,166,Outdoor activity organiser,,
Via Ferrata Tasik Hati,"Kampung Sungai Batu, 27070 Jerantut, Pahang",Jerantut,,+60 19-988 5670,4.5,38,Outdoor activity organiser,,
Crossurvive Sdn Bhd,"1106, Amcorp Tower, Amcorp Trade Centre, 18, Persiaran Barat, Pjs 52, 46050 Petaling Jaya, Selangor",Petaling Jaya,http://www.crossurvive.com.my/,+60 3-7956 4255,4,28,Training center,,
SKYTREX Adventure Melaka,"Jalan Taman Botanikal, 75450 Durian Tunggal, Melaka",Durian Tunggal,https://www.skytrex-adventure.org/melaka,+60 18-909 5679,4.6,776,attractions,,
Dayakboi Playground,"6489, Jln Lombong Besi 3, Kampung Lombong, 40460 Shah Alam, Selangor",Shah Alam,http://www.dayakboiplayground.com/,+60 12-521 6489,4.9,33,Outdoor activity organiser,,
MTP Outdoor Ventures (Mountain Trail pro),,,http://mtpoutdoor.com/,+60 13-920 5940,5,5,Outdoor activity organiser,,
SKYTREX Adventure Sg Congkak,"Batu 20, 1/2, Jalan Sungai Congkak, Kampung Padang, 43100 Hulu Langat, Selangor",Hulu Langat,http://www.skytrex-adventure.com/,+60 13-276 9841,4.7,418,attractions,,
Radiant Group,"Radiant Retreats, Kampung Janda Baik, 28750 Bentong, Pahang",Bentong,http://www.radiantgroup.my/,+60 12-281 0877,4.9,136,Event management company,,
Top Build Team Building-HRD Corp Claimable,"3 Element, Pusat Bandar Putra Permai, 43400 Seri Kembangan, Selangor",Seri Kembangan,https://www.malaysiatopteambuilding.com/,+60 12-292 0904,5,11,Training center,,
HIRO MALAYSIA EXPEDITION,,,,+60 11-6517 2771,5,25,Outdoor activity organiser,,
ECOMEC - East Coast Malaysia Outdoor Education Center,"Jalan Bukit Rengit, 28500 Lanchang, Pahang",Lanchang,,+60 18-988 9248,4.8,30,attractions,,
Impact Force | Event Management Company in KL,"Solaris Dutamas, Wilayah Persekutuan B2-2, 1, Jln Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,https://www.impactforce.com.my/,+60 16-207 2745,4.9,27,Event management company,,
KL Mobile Events - Malaysia,"C-16-02, 3 Two Square, 2, Jalan 19/1, Seksyen 19, 46300 Petaling Jaya, Selangor",Petaling Jaya,http://www.klmobiledjs.com/,+60 12-355 8530,4.9,82,Event management company,,
Gua Batu Maloi by RNR Adventures,"Taman Eko-Rimba Batu Maloi Kampung Tanggai Johol, 73100 Kuala Pilah, Negeri Sembilan",Kuala Pilah,http://www.instagram.com/_rnradventures_,+60 10-256 8685,4.9,149,Adventure sports center,,
Nomad Adventure Sdn Bhd,"Earth Camp, Lot 17525, Kampung Chulek, 31600 Gopeng, Perak",Gopeng,http://www.nomadadventure.com/,+60 16-201 1219,4.3,163,Rafting,,
Port Dickson Seaside Haven Events and Stays,"Lorong Lukut Jaya 5 Taman Bandar Baru Lukut Jaya Lukut, 71010 Port Dickson, Negeri Sembilan",Port Dickson,,+60 11-2821 8911,5,10,Event management company,,
Radak Adventure Consultant,"Riverside Camp @ Radak Adventure, Lot 14029, Jalan Besar, Kampung Jahang, 31600 Gopeng, Perak",Gopeng,http://www.radakadventure.com/,+60 18-905 9836,4.6,105,attractions,,
GenBijakdotMy #TrainingProvider #TeamBuildingExpert,"C-06-15, One South, The Street Mall, Seksyen 6, Jln OS, Taman Serdang Perdana, 43300 Seri Kembangan, Selangor",Seri Kembangan,https://genbijak.my/,+60 11-2800 3637,4.9,1288,Perunding Sumber Manusia,,
XnR Laser Tag,"PT 9335, Kg Haji Palil, Batu 15 1/2, 43100 Hulu Langat, Selangor",Hulu Langat,http://www.xnrlasertag.com/,+60 13-451 9351,4.5,22,Laser tag center,,
"Nice Events Asia - Led Screen, Sound System, Lighting, Stage & Tent Rental @ Kuala Lumpur","NO20 G, Jalan Desa 9/5, Bandar Country Homes, 48000 Rawang, Selangor",Rawang,https://linktr.ee/niceevents.asia,+60 17-597 5608,5,42,Event management company,,
Berhulucamp,"Taman Rekreasi Serting Ulu, 72300, Negeri Sembilan",MY,http://www.berhulucamp.blogspot.com/,+60 12-369 4057,4.8,456,Children's camp,,
MVP Team Building Malaysia,"15, Jalan Op 1, 1, Bandar, Bandar Puchong Jaya, 47160 Puchong, Selangor",Puchong,https://mvpteambuilding.com.my/,+60 12-366 1900,4.8,25,Event management company,,
Lara's Place-Learning And Recreational Activities Provider,"Seksyen 17, 46400 Petaling Jaya, Selangor",Petaling Jaya,http://www.larasplace.my/,+60 17-886 2687,4.3,4,Event planner,,
Woots! Event,"D-1-41, Merchant Avenue, Jalan PBS 14/1, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor",Seri Kembangan,https://wootsevent.com/,+60 16-288 3687,4.9,22,Event management company,,
Mudtrekker Paintball Park Cahaya SPK Shah Alam,"Jalan Hijau Serindit U9/68, Seksyen U9, Cahaya SPK, 40150 Shah Alam, Selangor",Shah Alam,http://www.mudtrekker.com.my/,+60 12-995 3372,4.7,387,Paintball center,,
Emcee Ren - Malaysia’s Versatile Host,"No. 14, Block B, Jalan Semarak Api 2, Diamond Square, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,https://www.pestamajlis.com/listing/emcee-ren-exhibition-corporate-government-concert/,+60 11-1187 1787,4.9,11,Event planner,,
APEX Team Building,"Level 15, DPulze, Lingkaran Cyber Point Timur, Cyber 12, 63000 Cyberjaya, Selangor",Cyberjaya,https://apexteambuilding.com/,+60 10-950 9245,4.9,229,Event management company,,
Asia Ability Creative Team Building,"52, Jalan 21/18, Taman Paramount, 46300 Petaling Jaya, Selangor",Petaling Jaya,http://www.asiaability.com/,+60 3-7865 7506,5,8,Event management company,,
THRILLERZ EVENTS,"53G, Jln Kemuning Prima D33/D, Kemuning Utama, 40400 Shah Alam, Selangor",Shah Alam,http://www.thrillerzevents.com/,+60 17-227 3117,5,77,Event management company,,
TVworkshop Team Building Company Retreats Malaysia,"Q Sentral, Level 21-08 & 09, 2A, Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur",Kuala Lumpur,https://www.tvworkshop.my/,+60 11-2755 3856,5,8,Event management company,,
CK EVENT MANAGEMENT COMPANY,,,https://www.eventmanagementcompanymalaysia.com/,+60 12-659 7702,4.9,35,Event management company,,
UPBH World Holding (M) Sdn Bhd,"5-7, Block A , Jaya One ,72A Jalan Prof Diraja, Jln Profesor Diraja Ungku Aziz, 46200 Petaling Jaya, Selangor",Petaling Jaya,http://upbhworldholding.com/,+60 3-7932 2780,5,13,Event management company,,
NF Events Management,"C-7-7, Plaza Park Avenue, Jln PJU 10/1, Damansara Damai, 47830 Petaling Jaya, Selangor",Petaling Jaya,http://www.nf-events.com/,+60 17-878 0677,4.9,35,Event management company,,
FGS Events Management,"10 Boulevard, 47400 Petaling Jaya, Selangor",Petaling Jaya,http://www.fgs.ninja/,+60 19-388 8595,5,22,Event management company,,
Ace Biznez Services (Team building & HRDF training company),"F-13A-19, Pacific Place Signature Office, Jalan PJU 1a/4, Ara Damansara, 47301 Petaling Jaya, Selangor",Petaling Jaya,http://www.acebiznez.com/,+60 14-347 4844,5,20,Training center,,
Casanava Productions Sdn Bhd,"2nd Floor, 10-2, Jalan PJS 11/28a, Bandar Sunway, 47500 Subang Jaya, Selangor",Subang Jaya,https://sites.google.com/view/casanavaproductions,+60 17-603 2797,4.8,40,Event management company,,
Hawt Dotz Sdn Bhd,"Kota Damansara, No. 32A-2, Jalan PJU 5/21 The Strand, Kota Damansara, 47810 Petaling Jaya, Selangor",Petaling Jaya,http://www.hawtdotz.com/,+60 3-6142 8813,4.7,24,Syarikat Pengurusan Acara,,
AK EMPIRE SDN.BHD.,"2A-2, Jalan PJU 7/16a, Mutiara Damansara, 47810 Petaling Jaya, Selangor",Petaling Jaya,https://akevent.com.my/,+60 3-7731 2588,5,21,Event management company,,
The Magnet Group (Magnet Experiential),"3, Jalan PJU 1a/12, Taman Perindustrian Jaya, 47301 Petaling Jaya, Selangor",Petaling Jaya,https://www.themagnetgroup.com.my/,+60 3-7734 1276,4.5,8,Event management company,,
SFK - SkinnyFatKids Worldwide Event Management & Brand Agency KL,"C-G-02, Perdana Exclusive Condo Office Suite, 15, Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya, Selangor",Petaling Jaya,https://www.wearesfk.com/,+60 3-7621 8988,5,5,Syarikat Pengurusan Acara,,
ARM Event Industries,"Lot 182P, Jln Kuala Selangor, Sungai Pelong, 47000 Sungai Buloh, Selangor",Sungai Buloh,http://www.armeventindustries.com/,+60 10-206 7536,5,13,Event management company,,
Shockwave Sdn Bhd,"off, 14, Jalan Cumarasami, Taman Kaya, Jalan Ipoh, Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,http://www.shockwave.my/,+60 16-212 8268,5,24,Event management company,,
Laskar Sonas Productions (M) Sdn. Bhd.,"Suite 1606 ,Casa Mila, Jalan Bukit Idaman, Selayang, Batu Caves, 68100, Batu Cav, Selangor, 68100 Kuala Lumpur, Selangor",Kuala Lumpur,http://www.laskarsonas.com/,+60 12-221 2201,4.9,14,Event management company,,
MD EVENTS ASIA SDN BHD (1125474-A),"Unit 3A-03, Level 3A, Menara Darussalam, 12, Jalan Pinang, Kuala Lumpur, 50450 W.P, Federal Territory of Kuala Lumpur",W.P,http://www.mdeventsasia.com/,,4.6,23,Event management company,,
Team Sound & Light Sdn Bhd,"Lorong 51a/223a, Seksyen 51a, 46100 Petaling Jaya, Selangor",Petaling Jaya,http://www.teamsoundandlight.com/,+60 16-256 7915,5,5,Event management company,,
SPD Events Asia - Canopy & Marquee Tent Supplier - Selangor KL,"Lot 104, Jalan Kampung Kuala Sungai Baru, Batu 13, 47150 Puchong, Selangor",Puchong,https://www.spdeventsasia.com/,+60 17-304 6716,4.5,8,Tent rental service,,
Memoires Events Management Sdn Bhd,"No.2, 35, Jalan Sierra 10/2, Bandar 16 Sierra, 47120 Puchong, Selangor",Puchong,http://www.memoiresevents.com/,+60 14-669 2388,4.8,49,Event management company,,
Suasana Klasik Canopy & Event,"Seksyen 1, 4, Jalan Gapi 1c/5, Antara Gapi, 48200 Serendah, Selangor",Serendah,,+60 13-666 6646,4,4,Event planner,,
Adrianas Idea - Event Management | Activation Specialist,"Bandar Seri Coalfields, 12, Jalan BSC 2C/3, 47000 Sungai Buloh, Selangor",Sungai Buloh,,+60 17-653 0007,5,4,Event management company,,
FGNC Event Management (M) Sdn Bhd,"Wisma Manjalara, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,http://www.fgnc.com.my/,+60 3-6277 2441,3.7,12,Event management company,,
Quorse | Team Building | Strategic Management Courses | Leadership Training,"Suite 302, Level 3, Menara PJ, Amcorp Trade Centre, 18, Persiaran Barat, Pjs 52, 46050 Petaling Jaya, Selangor",Petaling Jaya,https://quorse.com/,+60 11-1091 1066,4.9,211,Training center,,
MTMT Studios,"55B, Jln SS 24/8, Taman Megah, 47301 Petaling Jaya, Selangor",Petaling Jaya,http://mtmt-studios.com/,+60 13-906 2795,4.8,44,Art school,,
Core Apex Training,"Unit A – 2 – 13, Pinnacle, Jalan SS 7/26, Kelana Jaya, 47301 Petaling Jaya, Selangor",Petaling Jaya,https://cateambuilding.com/,+60 13-535 7883,5,263,Training center,,
Milestone Production - Event & Conference Specialist!,"Jaya One, The School Unit 100–7.051, Block J, Jln Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor",Petaling Jaya,http://www.milestone-production.com/,+60 3-7932 1001,3.9,27,Event planner,,
